file,k,dist,tight,seed,opt,method,eps,cost,ratio,evaluated,pruned,ms_min,ms_mean,feasible
instances/k08_linear_loose_s0.txt,8,linear,loose,0,34.643,approx,0.050000,34.642992,1.000000,660,252,0.053821,0.059309,1
instances/k08_linear_loose_s0.txt,8,linear,loose,0,34.643,approx,0.100000,34.645492,1.000072,516,348,0.047870,0.058931,1
instances/k08_linear_loose_s0.txt,8,linear,loose,0,34.643,approx,0.200000,34.645492,1.000072,254,350,0.036038,0.039697,1
instances/k08_linear_loose_s1.txt,8,linear,loose,1,43.063,brute,0.000000,43.063028,1.000001,40320,0,0.632181,0.691513,1
instances/k08_linear_loose_s1.txt,8,linear,loose,1,43.063,dp,0.000000,43.063028,1.000001,1024,0,0.019847,0.032976,1
instances/k08_linear_loose_s1.txt,8,linear,loose,1,43.063,dp_par,0.000000,43.063028,1.000001,1024,0,0.027321,0.040563,1
instances/k08_linear_loose_s1.txt,8,linear,loose,1,43.063,dp_prune,0.000000,43.063028,1.000001,1008,16,0.069210,0.091260,1
instances/k08_linear_loose_s1.txt,8,linear,loose,1,43.063,approx,0.000000,43.063028,1.000001,946,78,0.091282,0.123184,1
instances/k08_linear_loose_s1.txt,8,linear,loose,1,43.063,approx,0.020000,43.063028,1.000001,931,93,0.065514,0.072521,1
instances/k08_linear_loose_s1.txt,8,linear,loose,1,43.063,approx,0.050000,43.063028,1.000001,855,169,0.059773,0.073056,1
instances/k08_linear_loose_s1.txt,8,linear,loose,1,43.063,approx,0.100000,43.063028,1.000001,667,308,0.063780,0.081209,1
